that would be cash money,Fear,1.0
I’ll know by next week probably,Fear,1.0
stalker on a whole another level,Fear,1.0
does it as trino is typing,Fear,1.0
high danger when you get high,Fear,1.0
horny monkey,Fear,1.0
hriday come to race,Fear,1.0
i wanted to send that,Fear,1.0
^ ya sure,Fear,1.0
u cant open,Fear,1.0
perm abuser right here,Fear,1.0
I’m on my phone but sure,Fear,1.0
I can play like at 2:30,Fear,1.0
bet,Fear,1.0
ask ur officers,Fear,1.0
im just a character hehe,Fear,1.0
thats how @Garmfellow opens a box of donuts guys,Fear,1.0
akshay moment,Fear,1.0
ya she's sending certificates to our houses,Fear,1.0
black and white post,Fear,1.0
MAY THE FOURTH BE WITH YOU:))),Fear,1.0
LOL ewers moment,Fear,1.0
bro why would u ask that,Fear,1.0
bro his whole channel is cringe,Fear,1.0
hriday wants to play professional baseball:),Fear,1.0
u guys type too much,Fear,1.0
Monkey Type >>,Fear,1.0
ya sure,Fear,1.0
right below it,Fear,1.0
oh tharun gone,Fear,1.0
no thoughts,Fear,1.0
send,Fear,1.0
no proof,Fear,1.0
sure,Fear,1.0
"u cant play, pls",Fear,1.0
ikr,Fear,1.0
"most of the questions were on quizlet, so if you dont know something just look for that",Fear,1.0
i kinda gave up looking after 50 qs tho,Fear,1.0
hriday moment,Fear,1.0
ya sure,Fear,1.0
she went and snitched to reynolds,Fear,1.0
i mean she was right tho,Fear,1.0
and asked for money,Fear,1.0
the moment you realize he fked up,Fear,1.0
voice,Fear,1.0
shrey moment,Fear,1.0
dubai is a strange place to visit,Fear,1.0
i threw on the final,Fear,1.0
never goes positive,Fear,1.0
this guy covered it,Fear,1.0
its gone,Fear,1.0
land mines and grenades,Fear,1.0
"Tharun should defuse spike, bc hes clutch",Fear,1.0
ewers moment,Fear,1.0
i confused,Fear,1.0
gaying pc moment:),Fear,1.0
I’m 5’5” and 130 pounds,Fear,1.0
I’ll show proof,Fear,1.0
"sure, that would be funi",Fear,1.0
how is raskin gonna see our business attire,Fear,1.0
"tharun, you should play val with us rn",Fear,1.0
i am a menace...,Fear,1.0
that would be funi,Fear,1.0
bet,Fear,1.0
and typing,Fear,1.0
rhea moment,Fear,1.0
sure,Fear,1.0
give akshat roles,Fear,1.0
justice for opshat,Fear,1.0
thats tough akshat,Fear,1.0
its going to be filled with tamales,Fear,1.0
@rahul. send spanish?,Fear,1.0
him dancing,Fear,1.0
ya thats right,Fear,1.0
SEND,Fear,1.0
shrey moment,Fear,1.0
oreos are black and white,Fear,1.0
shi thats crazy,Fear,1.0
gave u an ez q,Fear,1.0
ay give me an ez q as well:),Fear,1.0
MEGA bet,Fear,1.0
i downloaded csgo and apex but havent played yet,Fear,1.0
we were playing Fortnite while our opponents were playing Valorant,Fear,1.0
sure,Fear,1.0
"tharun, u have prime vandal?",Fear,1.0
relax tsarhea,Fear,1.0
trinos been typing for a while,Fear,1.0
na u alr have prime ax,Fear,1.0
holy thats crazy,Fear,1.0
instead of buying a egift card,Fear,1.0
do your parents have?,Fear,1.0
right,Fear,1.0
or ask shrey for his,Fear,1.0
I’m going to,Fear,1.0
it was to see if he had the right person,Fear,1.0
"sure, im down",Fear,1.0
what’s a number?,Fear,1.0
grape job,Fear,1.0
like horny,Fear,1.0
i was going to get this but didnt want 60% keyboard:),Fear,1.0
oh NIGHT MARKET,Fear,1.0
from natures organic ice cream,Fear,1.0
i sent,Fear,1.0
madeline ewers moment,Fear,1.0
"sure, 1 min",Fear,1.0
would never,Fear,1.0
there are three heads,Fear,1.0
that would be cash money,Fear,1.0
